time,x,y,z,gforce
11.094,0.00,-0.01,-0.22
11.128,-0.02,-0.01,-0.24
11.140,-0.05,-0.02,-0.22
11.153,-0.06,-0.01,-0.13
11.181,0.00,-0.02,-0.23
11.201,0.01,-0.02,-0.22
11.227,-0.01,-0.02,-0.23
11.262,-0.04,-0.01,-0.24
11.272,-0.05,-0.02,-0.20
11.284,-0.04,-0.01,-0.19
11.301,-0.02,-0.01,-0.20
11.327,-0.04,0.00,-0.16
11.348,0.00,0.04,-0.20
11.375,-0.04,-0.01,-0.20
11.389,-0.02,0.02,-0.20
11.420,-0.03,0.02,-0.23
11.487,-0.07,0.00,-0.19
11.521,-0.03,0.00,-0.13
11.522,-0.03,0.03,-0.22
11.537,0.01,0.04,-0.20
11.539,0.03,-0.01,-0.23
11.551,-0.02,-0.03,-0.23
11.582,-0.02,0.01,-0.23
11.592,-0.06,0.01,-0.26
11.607,-0.03,0.03,-0.20
11.649,-0.05,-0.01,-0.20
11.650,0.01,-0.01,-0.16
11.672,-0.02,0.01,-0.16
11.694,0.01,0.01,-0.20
11.707,-0.00,0.01,-0.16
11.836,-0.00,-0.00,-0.17
11.839,0.01,0.02,-0.19
11.840,-0.01,0.01,-0.13
11.841,-0.01,0.01,-0.16
11.842,0.02,-0.03,-0.07
11.867,-0.05,-0.02,-0.23
11.901,-0.05,-0.02,-0.23
11.911,0.01,0.01,-0.13
11.927,-0.03,-0.01,-0.20
11.958,-0.02,-0.02,-0.16
11.970,0.04,-0.02,-0.22
11.978,-0.02,-0.02,-0.23
12.001,-0.00,-0.02,-0.26
12.033,-0.05,-0.01,-0.19
12.043,-0.04,0.01,-0.11
12.059,-0.00,-0.02,-0.23
12.081,-0.08,-0.02,-0.20
12.106,-0.02,-0.03,-0.20
12.124,0.01,0.01,-0.16
12.141,-0.02,-0.02,-0.23
12.167,-0.04,-0.02,-0.26
12.182,0.03,-0.02,-0.20
12.208,-0.01,-0.02,-0.24
12.232,-0.01,-0.02,-0.19
